player,fantasy,salary,value,score,madeCut,first,topFive,topTen,topTwentyFive,eagles,birdies,pars,bogeys,doubleBogeys,team,gameInfo
Nicholas Lindheim,34.41,$7000,4.92,3.15,43.52%,0.12%,2.12%,4.52%,12.36%,0.14,8.2,33.12,8.95,1.25,,
Jesper Svensson,41.4,$8800,4.7,1.83,52.88%,1.0%,4.16%,8.16%,20.52%,0.18,9.48,35.06,9.13,1.19,,
Taylor Moore,39.76,$8800,4.52,2.24,52.08%,0.52%,3.84%,7.08%,18.24%,0.17,9.21,34.96,9.2,1.2,,
Kevin Streelman,41.01,$7100,5.78,1.98,53.32%,0.88%,4.4%,8.4%,20.0%,0.17,9.4,35.36,9.02,1.25,,
Stephan Jaeger,40.91,$8900,4.6,1.98,52.96%,0.72%,4.16%,7.88%,20.64%,0.2,9.33,35.23,9.07,1.24,,
Ricky Castillo,42.46,$9000,4.72,1.59,54.12%,0.36%,5.04%,10.28%,23.04%,0.19,9.56,35.56,8.98,1.19,,
Kensei Hirata,37.02,$7000,5.29,2.64,47.2%,0.52%,3.2%,5.88%,15.8%,0.16,8.62,34.02,8.98,1.21,,
Ben Martin,36.08,$7000,5.15,2.81,45.28%,0.2%,2.76%,5.84%,14.8%,0.17,8.48,33.45,8.98,1.23,,
Luke List,36.91,$7300,5.06,2.66,46.28%,0.36%,2.52%,6.08%,16.4%,0.17,8.69,33.57,8.97,1.26,,
Troy Merritt,39.42,$7400,5.33,2.24,50.64%,0.6%,3.76%,7.0%,18.32%,0.17,9.1,34.65,9.07,1.22,,
Peter Malnati,28.45,$7100,4.01,4.28,33.76%,0.12%,0.52%,2.0%,6.68%,0.13,7.1,30.74,8.91,1.27,,
Kurt Kitayama,52.77,$11600,4.55,-0.33,66.2%,2.64%,11.64%,19.16%,37.64%,0.22,11.29,38.25,8.92,1.16,,
Nick Dunlap,35.36,$7700,4.59,2.92,44.76%,0.24%,2.04%,5.12%,13.12%,0.14,8.39,33.36,9.01,1.21,,
Rasmus Neergaard-Petersen,41.97,N/A,N/A,1.69,53.68%,0.92%,5.4%,9.4%,22.28%,0.17,9.5,35.49,8.97,1.2,,
Will Gordon,42.21,$7400,5.7,1.68,54.4%,0.8%,4.52%,9.36%,22.76%,0.19,9.57,35.61,8.95,1.26,,
Denny McCarthy,41.57,$8300,5.01,1.89,54.44%,0.56%,4.24%,8.72%,21.08%,0.18,9.47,35.64,9.09,1.23,,
John Keefer,48.98,N/A,N/A,0.39,63.32%,1.04%,8.08%,14.6%,32.36%,0.19,10.73,37.72,8.97,1.18,,
Mackenzie Hughes,39.3,$8700,4.52,2.28,50.16%,0.52%,3.64%,7.24%,18.8%,0.17,9.09,34.49,9.07,1.23,,
Scottie Scheffler,72.61,$15800,4.6,-3.98,82.84%,10.32%,31.16%,45.04%,65.76%,0.31,14.2,41.66,8.58,1.06,,
Beau Hossler,42.31,$8900,4.75,1.6,54.52%,0.72%,4.92%,9.56%,23.16%,0.18,9.6,35.61,9.06,1.18,,
Sudarshan Yellamaraju,47.75,N/A,N/A,0.67,60.96%,2.08%,7.84%,14.36%,29.6%,0.2,10.49,37.07,9,1.19,,
Rasmus Hojgaard,42.71,$9200,4.64,1.59,54.68%,0.92%,5.12%,9.92%,23.12%,0.19,9.69,35.55,9.05,1.21,,
Justin Lower,34.52,$7100,4.86,3.15,43.92%,0.28%,2.12%,4.52%,12.76%,0.16,8.19,33.19,9.07,1.2,,
Cameron Champ,37.31,$7300,5.11,2.6,47.36%,0.24%,2.92%,5.84%,14.88%,0.16,8.76,33.87,9.03,1.24,,
Max Greyserman,40.13,$9400,4.27,1.92,49.92%,0.6%,3.92%,8.2%,21.44%,0.17,9.2,34.49,8.95,1.16,,
Alejandro Tosti,30.62,$7000,4.37,3.87,37.0%,0.12%,1.2%,3.08%,7.96%,0.14,7.5,31.49,8.92,1.26,,
Pierceson Coody,43.93,$10600,4.14,1.35,56.68%,0.92%,5.8%,10.92%,23.96%,0.19,9.88,36.08,9.07,1.19,,
Casey Jarvis,34.19,N/A,N/A,3.16,43.64%,0.2%,1.84%,3.88%,11.52%,0.14,8.15,33.27,8.89,1.25,,
David Lipsky,38.5,$7500,5.13,2.4,49.28%,0.4%,3.56%,7.04%,16.96%,0.19,8.91,34.39,9.01,1.25,,
Ryder Cowan,34.79,N/A,N/A,3.09,44.08%,0.32%,2.2%,4.48%,13.04%,0.14,8.3,33.18,9.03,1.23,,
Chun An Yu,42.88,$9100,4.71,1.53,55.56%,0.84%,4.76%,9.4%,23.64%,0.17,9.71,35.89,9.06,1.18,,
Benjamin Silverman,42.31,$7200,5.88,1.61,53.72%,0.92%,5.32%,10.04%,22.68%,0.17,9.56,35.48,8.93,1.19,,
Seamus Power,41.9,$8300,5.05,1.72,53.56%,0.68%,5.08%,9.76%,21.56%,0.17,9.55,35.36,8.99,1.22,,
Thorbjorn Olesen,42.11,$8600,4.9,1.68,54.56%,0.8%,4.36%,9.32%,22.16%,0.19,9.56,35.65,9.02,1.21,,
Jackson Koivun,34.04,N/A,N/A,3.2,42.8%,0.2%,2.24%,3.96%,11.84%,0.14,8.11,32.98,8.94,1.24,,
Hao-Tong Li,42.61,$8500,5.01,1.56,54.8%,0.96%,5.16%,9.16%,23.6%,0.17,9.64,35.74,8.99,1.2,,
Ryan Brehm,26.6,$7000,3.8,4.61,29.68%,0.08%,0.68%,1.84%,5.48%,0.11,6.8,29.6,8.91,1.26,,
Michael Kim,42.25,$9000,4.69,1.63,53.44%,0.96%,5.36%,9.96%,22.4%,0.17,9.57,35.34,8.93,1.22,,
Lucas Glover,45.6,$8400,5.43,1.11,60.08%,0.64%,6.2%,11.76%,26.12%,0.2,10.17,36.98,9.08,1.21,,
Hank Lebioda,37.37,$7000,5.34,2.59,47.88%,0.32%,3.0%,5.88%,15.4%,0.16,8.75,34.06,9.05,1.21,,
Zac Blair,46.93,$8200,5.72,0.79,60.24%,1.16%,7.68%,13.52%,29.52%,0.2,10.31,37.05,8.92,1.2,,
Ben Kohles,54.44,$8400,6.48,-0.6,68.48%,2.92%,12.32%,21.12%,40.04%,0.23,11.57,38.74,8.93,1.17,,
Max Homa,38.05,$9800,3.88,2.47,48.52%,0.2%,2.96%,6.36%,16.92%,0.17,8.85,34.19,9.01,1.24,,
Brian Harman,41.75,$8700,4.8,1.65,52.68%,0.72%,5.2%,9.96%,21.96%,0.18,9.45,35.28,8.84,1.22,,
Matthieu Pavon,34.74,$7800,4.45,3.11,44.0%,0.4%,2.12%,4.56%,12.68%,0.15,8.29,33.08,9.08,1.23,,
Garrick Higgo,35.53,$8100,4.39,3.02,45.64%,0.32%,2.32%,4.8%,12.76%,0.16,8.45,33.45,9.13,1.24,,
John Parry,44.38,$8600,5.16,1.3,57.48%,0.84%,6.04%,11.64%,25.04%,0.19,9.92,36.36,9,1.22,,
Jason Day,37.4,$9400,3.98,2.62,47.48%,0.32%,2.48%,6.52%,15.68%,0.17,8.8,33.75,9.15,1.21,,
